LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,lsoa11cd,lsoa11nm,IMDScore,IncScore,EmpScore,EduScore,HDDScore,CriScore,BHSScore,EnvScore,IDCScore,IDOScore,CYPScore,ASScore,GBScore,WBScore,IndScore,OutScore
E01003730,10,2,9,1,0,2,0,7,19,24,E01003730,Redbridge 032C,23.485,0.182,0.097,22.248,-0.823,0.354,30.78,27.34,0.153,0.368,-0.214,0.389,-1.037,4.232,-0.04,1.195
E01003731,7,10,11,5,0,11,6,2,21,27,E01003731,Redbridge 033A,26.421,0.206,0.11,19.348,-0.5,0.61,33.529,24.301,0.224,0.327,-0.076,0.346,-0.6,4.344000000000001,-0.206,1.118
E01003732,2,17,14,0,0,4,1,13,21,45,E01003732,Redbridge 032D,33.926,0.257,0.123,20.73,0.636,0.134,43.539,19.575,0.297,0.369,-0.047,0.357,-0.092,4.996,-0.792,1.133
E01003733,14,6,11,5,0,9,3,16,22,55,E01003733,Redbridge 032E,25.381,0.184,0.085,19.071,-0.665,0.424,33.371,42.676,0.245,0.333,-0.258,0.361,-0.957,4.545,0.617,1.483
E01003734,10,18,29,3,1,9,11,35,30,55,E01003734,Redbridge 033B,22.036,0.165,0.094,19.516,-0.707,0.55,30.314,21.403,0.133,0.321,-0.011,0.34,-1.521,4.267000000000001,-0.247,0.907
E01003735,17,7,9,2,1,8,3,22,7,69,E01003735,Redbridge 033C,34.319,0.3,0.156,25.027,0.028,-0.085,37.127,13.866,0.276,0.627,0.183,0.373,-0.459,4.681,-1.204,0.76
E01003736,8,7,5,0,1,1,0,15,11,26,E01003736,Redbridge 033D,25.007,0.191,0.102,17.331,-0.173,0.469,31.255,26.525,0.232,0.268,-0.114,0.329,-0.749,4.143,-0.25,1.344
E01003737,9,11,14,0,0,6,8,8,34,32,E01003737,Redbridge 031A,14.602,0.12,0.057,9.185,-1.148,0.47,26.47,20.371,0.14,0.189,-0.647,0.278,-0.19,2.629,-0.148,0.693
E01003738,13,12,9,2,0,4,12,6,27,33,E01003738,Redbridge 031B,14.155,0.108,0.059,11.997,-1.323,0.145,28.716,21.551,0.143,0.132,-0.775,0.322,-0.029,2.71,-0.228,0.9
E01003739,8,8,8,2,2,5,4,13,32,67,E01003739,Redbridge 031C,19.82,0.173,0.083,9.8,-0.698,0.451,29.315,21.124,0.203,0.271,-0.651,0.287,-0.27,3.317,-0.259,0.892
E01003740,13,10,26,2,0,7,9,11,35,63,E01003740,Redbridge 031D,18.38,0.112,0.077,12.782,-0.881,0.891,28.112,22.239,0.125,0.137,-0.396,0.304,-0.195,2.96,-0.245,0.98
E01003741,11,14,10,1,0,0,5,5,17,24,E01003741,Redbridge 031E,16.28,0.111,0.067,9.042,-0.831,0.319,28.477,30.524,0.123,0.17,-0.968,0.294,-0.201,3.04,0.203,1.147
E01003742,12,10,13,1,1,8,4,13,21,40,E01003742,Redbridge 031F,15.083,0.135,0.055,17.631,-1.073,0.116,26.077,18.31,0.171,0.203,0.012,0.316,-1.657,3.686,-0.484,0.833
